"titulo";"url_noticia";"tag";"texto";"url_imagen";"periodista";"tiempo";"fecha_captura"
"   Junaeb cuestiona carta de exdirector por sobreprecio de raciones: “El cruce de datos es erróneo y antojadizo”";"/politica/noticia/junaeb-cuestiona-carta-de-exdirector-por-sobreprecio-de-raciones-el-cruce-de-datos-es-erroneo-y-antojadizo/GT7FCET23NFHPFIVHEZ7VMPZDY/";"Política ";"Esto, luego de que Cristóbal Acevedo respaldara en una carta -enviada al presidente de la comisión que analiza la acusación constitucional al ministro de Educación- la información de que el organismo pagó $3.500 millones por 30 colaciones en 2022.";"https://www.latercera.com/resizer/H47_fIk9jB9CIqb1qJR25GwNt3o=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/7HCN4PPKFZAGLM2MO27OHGA3TY.jpg";"Cristóbal Palacios";" Hace 10 horas ";"2023-07-08"
"   Rusia ve en envío de bombas de racimo a Ucrania como provocación de EE.UU. que acerca a otra guerra mundial";"/mundo/noticia/rusia-ve-en-envio-de-bombas-de-racimo-a-ucrania-como-provocacion-de-eeuu-que-acerca-a-otra-guerra-mundial/TC4RG5JENNGLROUCKRXXX7BCYA/";"Mundo ";"El embajador ruso en Estados Unidos, Anatoli Antonov, dijo que Washington está “tan obsesionado con la idea de derrotar a Rusia que no se da cuenta de la gravedad de sus acciones”. Agregó que la injerencia de la potencia occidental “solo provoca más bajas y prolonga la agonía del régimen de Kiev”.";"https://www.latercera.com/resizer/8fO2kb5GlqPZQcgKykpmVo_Xdg8=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/FQ4TLORTSJGLHJ6RYR2TKLLO54.jpg";"Europa Press";" Hace 11 horas ";"2023-07-08"
"   Biden advierte a presidente chino sobre inversiones de Occidente tras la reunión con Putin";"/mundo/noticia/biden-advierte-a-presidente-chino-sobre-inversiones-de-occidente-tras-la-reunion-con-putin/RK5F7WBQTZBHFGRFBCPBBXW3MQ/";"Mundo ";"“Desde que Rusia entró en Ucrania, 600 empresas estadounidenses se han retirado de Rusia. Y me han dicho que su economía depende de las inversiones de Europa y Estados Unidos. Tengan cuidado”, advirtió el mandatario estadounidense a Xi Jinping.";"https://www.latercera.com/resizer/_wLb2YOSxdlu_gp_bJKvF7CcFtc=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/JZOTTSDGJ3JYHPK5ZKSDO3OVR4.jpg";"Agencia Reuters";" Hace 11 horas ";"2023-07-08"
"   Asume “falla administrativa”: exseremi del Maule dice que firmó convenio “sin percatarse” de vínculo con la fundación donde trabajó";"/politica/noticia/asume-falla-administrativa-exseremi-del-maule-dice-que-firmo-convenio-sin-percatarse-de-vinculo-con-la-fundacion-donde-trabajo/AHZQ5UXU2NGCXAWY2R4PETSIVY/";"Política ";"Aunque aseguró su inocencia en el caso, Rodrigo Hernández (RD) afirmó que cometió “un error que no puede permitirse en este contexto"".";"https://www.latercera.com/resizer/4LckgkQW4_IeTDY6K04vttyrHPs=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/E6UJS5VPVJBHZIQ7I3T5KUQHTM.jpg";"Rodrigo Gómez S. y Catalina Batarce";" Hace 11 horas ";"2023-07-08"
"   Tras IPC de -0,2% en junio, mercado prevé fuerte recorte de la TPM y que inflación cerrará bajo 4% este año";"/earlyaccess/noticia/tras-ipc-de-02-en-junio-mercado-preve-fuerte-recorte-de-la-tpm-y-que-inflacion-cerrara-bajo-4-este-ano/PZ23QLYXJJGKDCYFJTFLEXFCN4/";"Early Access ";"El registro del sexto mes del año sorprendió a los expertos y al propio Banco Central, cuya presidenta reconoció que “se ubicó por debajo (...) de la proyección del escenario central del Ipom”. La inflación anual pasó de 8,7% a 7,6%, su menor nivel desde diciembre de 2021, y se anticipa que podría volver a la meta de 3% en el primer trimestre de 2024. Rosanna Costa dio luces que este mes sí comienza el proceso de bajas de tasas y en el mercado se consolida la opción de 100 puntos base para ese primer paso. Al respecto, hay economistas que advierten del peligro de un sobreajuste. La Bolsa reaccionó alcanzando un nuevo récord.";"https://www.latercera.com/resizer/nk-Za42fouNi6kgl6HjIKcTq_oY=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/CPEZFBPF2VGF3I7BGG6FYES7JA.jpg";"Rodrigo Cárdenas y Rodrigo Cárdenas";" Hace 12 horas ";"2023-07-08"
"   Diego Pardow: “Estamos pasando de proyectos potenciales a proyectos que podrían concretarse”";"/pulso/noticia/diego-pardow-estamos-pasando-de-proyectos-potenciales-a-proyectos-que-podrian-concretarse/ZGZGV2T3YJBH7OCEQJVCGC5KBA/";"Energía ";"El gobierno está avanzando en el plan de hidrógeno verde y preparando los instrumentos que permitirán dar forma a la industria con nuevos incentivos. Se están viendo las experiencias internacionales y definiendo los mecanismos, los que se tiene previsto dar a conocer en septiembre. Aquí lo cuenta el ministro de Energía, que esta semana lanzó un comité estratégico que integra a diversas exautoridades.";"https://www.latercera.com/resizer/o_dBR2yzsBU7pplEw4D4CzsW4x8=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/7DFSKXXZVVF27GMIJUCVJ637FA.jpg";"Sandra Burgos";" Hace 12 horas ";"2023-07-08"
"   Perú y México, los nuevos destinos de DDI, la firma tras los imparables “malls chinos”";"/pulso/noticia/peru-y-mexico-los-nuevos-destinos-de-ddi-la-firma-tras-los-imparables-malls-chinos/2K7R4BFFXBGVNM3DXCDGSYZY4Y/";"Empresa ";"El grupo inmobiliario DDI, que controlan los chilenos Renzo Silva y Lissette Díaz, busca repetir en esos países la expansión de los retailers asiáticos. Alistore será la punta de lanza, para lo cual también abrirán una oficina en Miami. En todo Chile, DDI administra la operación inmobiliaria de 70 tiendas de dueños asiáticos y esperan cerrar 2023 con 80 locales a su cargo.";"https://www.latercera.com/resizer/C6UCwMyhJBPELh8qTkIMc-hjGEg=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/SM7E3HHS55HCPAMW3ZZNIDP4GY.jpg";"Fernando Vega";" Hace 12 horas ";"2023-07-08"
"   El cambio en la cabeza de Enel ya se comienza a sentir en Latinoamérica";"/pulso/noticia/el-cambio-en-la-cabeza-de-enel-ya-se-comienza-a-sentir-en-latinoamerica/IOL6ATR4RZA5PMR72OZABC6SUQ/";"Energía ";"Flavio Cattaneo, el nuevo CEO, ya nombró a su equipo de confianza de cuatro ejecutivos, quienes planificarán cómo será la operación. En la región ya se cambió al CEO de Enel Américas. Y podrían venir otras modificaciones en Enel Chile.";"https://www.latercera.com/resizer/INFCtBdA8faFiarWK7nw-ZMoR9E=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/D3KMS3SHLJHHFNKDHENNPMMACY.jpg";"Sandra Burgos";" Hace 12 horas ";"2023-07-08"
"  Columna de Gonzalo Restini: “Taxman”";"/pulso/noticia/columna-de-gonzalo-restini-taxman/DELIF3KFYZB3FNWGSYOURF4SIY/";"Opinión ";"""¿No sería mejor aunar voluntades para hacer las cosas bien? ¿No sería bueno que un gobierno de izquierda generara un visión de consenso de Chile, con un planteamiento económico compartido, que cree empleos, que mejore los sueldos y nos permita salir del remolino gris en el que estamos?? ¿No será más reconfortante terminar siendo recordado como el hombre que puso de vuelta a Chile en el camino al desarrollo? ¿Para qué regalarle eso a la derecha??"".";"https://www.latercera.com/resizer/R14RUo-LCJOZLJGPrpUGEyi_EtQ=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/JZ4R3OVBAVCZ3FROCI2HXQMDDM.jpg";"Gonzalo Restini";" Hace 12 horas ";"2023-07-08"
"   Ministerio Público investiga femicidio y posterior suicidio del agresor en Pucón";"/nacional/noticia/ministerio-publico-investiga-femicidio-y-posterior-suicidio-del-agresor-en-pucon/CNMIAT54TBE37A5J5XGCJZECPQ/";"Nacional ";"A cargo de las pericias quedó la Brigada de Homicidios de la PDI de Temuco, mientras que los cuerpos fueron trasladados hasta el Servicio Médico Legal para la autopsia correspondiente.";"https://www.latercera.com/resizer/39-PUTLxR6283AXKcqYzgkfIJ8g=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/3O6NO72HDFCI7HZHSQN7LACRQI.jpg";"Carlos Zamorano y Rodrigo Gómez S.";" Hace 12 horas ";"2023-07-08"
